ID,Places,Description,Author,Author Link,Website,Website Link,Image Link, License, License Link
JLG,Jurong Lake Gardens,"An aerial view of the southern to middle part of Jurong Lake in Jurong East, Singapore",Groyn88,https://en.wikipedia.org/wiki/User:Groyn88,English Wikipedia,https://en.wikipedia.org/wiki/Main_Page,"https://en.wikipedia.org/wiki/Jurong_Lake#/media/File:Southern_to_middle_part_of_Jurong_Lake,_Singapore.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/
SZG,Singapore Zoological Gardens,Singapore Zoo entrance,shankar s.,https://www.flickr.com/people/shankaronline/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/shankaronline/7448855176,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
NS,Night Safari,"Entrance of Night Safari, Singapore",Allie_Caulfield,https://www.flickr.com/people/wm_archiv/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/wm_archiv/7486028056/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
RW,River Wonder,Entrance of the River Safari in Singapore,aamanatullah,https://www.flickr.com/people/ahmed_xp/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/ahmed_xp/19200465114/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
MBP,Mandai Bird Paradise,Bird Paradise entrance,Justanothersgwikieditor,https://commons.wikimedia.org/wiki/User:Justanothersgwikieditor,Wikimedia Commons,https://commons.wikimedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Bird_Paradise#/media/File:Bird_Paradise_entrance.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
NMS,National Museum Of Singapore,"National Museum of Singapore. Museum Planning Area, Central Region, Singapore",Marcin Konsek,https://commons.wikimedia.org/wiki/User:Halavar,Wikimedia Commons,https://commons.wikimedia.org/wiki/Main_Page,"https://en.wikipedia.org/wiki/National_Museum_of_Singapore#/media/File:2016_Singapur,_Museum_Planning_Area,_Narodowe_Muzeum_Singapuru_(02).jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
ACM,Asian Civilisations Museum,Empress Place Building,Alexey Komarov,https://commons.wikimedia.org/wiki/User:Alexkom000,Wikimedia Commons,https://commons.wikimedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Asian_Civilisations_Museum#/media/File:Empress_Place_Building_2023-03-22.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
PM,Peranakan Museum,Peranakan Museum,Elisa.rolle,https://commons.wikimedia.org/wiki/User:Elisa.rolle,Wikimedia Commons,https://commons.wikimedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Peranakan_Museum#/media/File:Peranakan_Museum.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
IHC,Indian Heritage Centre,Indian Heritage Centre,smuconlaw,https://www.flickr.com/people/75449964@N05/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/75449964@N05/17116128977,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/deed.en
CMS,Children's Museum Singapore,Children's Museum Singapore,Choo Yut Shing,https://www.flickr.com/people/25802865@N08/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/25802865@N08/52543544894,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
SCS,Science Centre Singapore,Science Centre Singapore,smuconlaw,https://www.flickr.com/people/75449964@N05/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/75449964@N05/22800083093,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/deed.en
SAM,Singapore Art Museum,Singapore Art Museum,Choo Yut Shing,https://www.flickr.com/people/25802865@N08/,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/25802865@N08/5097700229,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/deed.en
